F16.120,305.33,4
F18.10,305.93,4
F18.120,305.92,4
F19.10,305.83,4
F19.120,305.83,4
F45.8,306.2,4
F55.0,305.93,4
F55.1,305.93,4
F55.2,305.93,4
F55.3,305.93,4
F55.4,305.93,4
F55.8,305.93,4
F93.8,313.89,4
G47.30,780.57,4
H40.50X0,365.64,4
H40.50X1,365.64,4
H40.50X2,365.64,4
H40.50X3,365.64,4
H40.50X4,365.64,4
H40.51X0,365.64,4
H40.51X1,365.64,4
H40.51X2,365.64,4
H40.51X3,365.64,4
H40.51X4,365.64,4
H40.52X0,365.64,4
H40.52X1,365.64,4
H40.52X2,365.64,4
H40.52X3,365.64,4
H40.52X4,365.64,4
H40.53X0,365.64,4
H40.53X1,365.64,4
H40.53X2,365.64,4
H40.53X3,365.64,4
H40.53X4,365.64,4
H40.60X2,365.32,4
H40.60X3,365.32,4
H40.60X4,365.32,4
H40.61X2,365.32,4
H40.61X3,365.32,4
H40.61X4,365.32,4
H40.62X2,365.32,4
H40.62X3,365.32,4
H40.62X4,365.32,4
H40.63X2,365.32,4
H40.63X3,365.32,4
H40.63X4,365.32,4
H65.111,381.05,4
H65.112,381.05,4
H65.113,381.05,4
H65.114,381.05,4
H65.115,381.05,4
H65.116,381.05,4
H65.117,381.05,4
H65.119,381.05,4
H74.01,385.03,4
H74.02,385.03,4
H74.03,385.03,4
H74.09,385.03,4
H74.11,385.13,4
H74.12,385.13,4
H74.13,385.13,4
H81.01,386.03,4
H81.02,386.03,4
H81.03,386.03,4
H81.09,386.03,4
H83.01,386.33,4
H83.02,386.33,4
H83.03,386.33,4
H83.09,386.33,4
H83.11,386.43,4
H83.12,386.43,4
H83.13,386.43,4
H83.19,386.43,4
H83.2X1,386.55,4
H83.2X2,386.55,4
H83.2X3,386.56,4
H83.2X9,386.53,4
H90.0,389.04,4
H90.11,389.04,4
H90.12,389.04,4
H90.3,389.18,4
H90.41,389.17,4
H90.42,389.17,4
I08.0,396.3,4
K64.0,455.5,4
K64.1,455.5,4
K64.2,455.5,4
K64.3,455.5,4
K64.8,455.8,4
L03.019,681.9,4
L03.119,682.7,4
L03.129,682.7,4
L89.40,707.2,4
L89.41,707.21,4
L89.42,707.22,4
L89.43,707.23,4
L89.44,707.24,4
L89.45,707.25,4
M01.X0,711.7,4
M01.X11,711.71,4
M01.X12,711.71,4
M01.X19,711.71,4
M01.X21,711.72,4
M01.X22,711.72,4
M01.X29,711.72,4
M01.X31,711.73,4
M01.X32,711.73,4
M01.X39,711.73,4
